"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"13.01.2016","17,9490","17,9009","17,9592","17,7628","0,30%"
"12.01.2016","17,8950","17,8850","17,9802","17,7270","0,06%"
"11.01.2016","17,8850","17,9254","18,0110","17,7802","-0,28%"
"08.01.2016","17,9350","17,8534","17,9772","17,7050","0,45%"
"07.01.2016","17,8550","17,5370","17,8550","17,5115","1,80%"
"06.01.2016","17,5400","17,3500","17,5676","17,3255","1,16%"
"05.01.2016","17,3387","17,3020","17,3803","17,2500","0,17%"
"04.01.2016","17,3099","17,2118","17,3941","17,1931","0,76%"
"01.01.2016","17,1800","17,1800","17,1800","17,1800","0,00%"
"31.12.2015","17,1800","17,3845","17,4237","17,1800","-1,16%"
"30.12.2015","17,3825","17,2463","17,4056","17,2448","0,77%"
"29.12.2015","17,2500","17,2462","17,2787","17,1555","0,00%"
"28.12.2015","17,2498","17,2248","17,3095","17,2230","0,11%"
"25.12.2015","17,2300","17,2300","17,2342","17,2300","0,03%"
"24.12.2015","17,2250","17,2212","17,3217","17,2050","0,00%"
"23.12.2015","17,2250","17,1921","17,2527","17,1537","0,20%"
"22.12.2015","17,1898","17,1532","17,2377","17,0930","0,17%"
"21.12.2015","17,1602","17,1303","17,2345","17,0325","0,09%"
"18.12.2015","17,1450","17,0465","17,1487","16,9542","0,56%"
"17.12.2015","17,0500","16,9870","17,1612","16,9272","0,38%"
"16.12.2015","16,9850","17,1180","17,1998","16,8978","-0,73%"
"15.12.2015","17,1100","17,3168","17,3572","17,1070","-1,15%"
"14.12.2015","17,3095","17,3230","17,4681","17,2875","-0,47%"
"11.12.2015","17,3920","17,1916","17,4371","17,1782","1,14%"
"10.12.2015","17,1968","17,0689","17,2159","17,0316","0,78%"
"09.12.2015","17,0635","17,0275","17,1037","16,9215","0,21%"
"08.12.2015","17,0270","16,8919","17,0792","16,8820","0,82%"
"07.12.2015","16,8889","16,6585","16,9763","16,6575","1,40%"
"04.12.2015","16,6559","16,7131","16,7774","16,6481","-0,34%"
"03.12.2015","16,7134","16,5657","16,7545","16,5212","0,87%"
"02.12.2015","16,5687","16,5265","16,6243","16,4999","0,29%"
"01.12.2015","16,5206","16,5733","16,5835","16,4677","-0,33%"
"30.11.2015","16,5745","16,6302","16,6323","16,5467","-0,30%"
"27.11.2015","16,6246","16,5607","16,6318","16,5357","0,37%"
"26.11.2015","16,5641","16,4972","16,5712","16,4910","0,37%"
"25.11.2015","16,5024","16,5387","16,5900","16,4870","-0,20%"
"24.11.2015","16,5353","16,5493","16,5661","16,4342","-0,07%"
"23.11.2015","16,5476","16,5247","16,6365","16,4838","0,09%"
"20.11.2015","16,5335","16,6182","16,6599","16,4555","-0,53%"
"19.11.2015","16,6210","16,7385","16,7437","16,5485","-0,70%"
"18.11.2015","16,7386","16,7195","16,8282","16,6930","0,09%"
"17.11.2015","16,7228","16,7696","16,8028","16,7058","-0,28%"
"16.11.2015","16,7701","16,6817","16,8388","16,6746","0,52%"
"13.11.2015","16,6829","16,7352","16,7940","16,6682","-0,31%"
"12.11.2015","16,7353","16,7337","16,8186","16,6882","0,03%"
"11.11.2015","16,7309","16,7514","16,7662","16,6472","-0,15%"
"10.11.2015","16,7553","16,7713","16,8462","16,7117","-0,11%"
"09.11.2015","16,7735","16,8279","16,9213","16,7555","-0,16%"
"06.11.2015","16,8003","16,6103","16,8854","16,5972","1,18%"
"05.11.2015","16,6041","16,5327","16,6278","16,5080","0,39%"
"04.11.2015","16,5395","16,4017","16,5632","16,3560","0,86%"
"03.11.2015","16,3982","16,4387","16,5099","16,3637","-0,27%"
"02.11.2015","16,4422","16,5047","16,5348","16,4357","-0,35%"
"30.10.2015","16,5000","16,6379","16,6406","16,4830","-0,80%"
"29.10.2015","16,6323","16,6375","16,6937","16,5790","-0,04%"
"28.10.2015","16,6385","16,5464","16,6550","16,4225","0,58%"
"27.10.2015","16,5430","16,5350","16,6121","16,5002","0,06%"
"26.10.2015","16,5329","16,5857","16,5924","16,4662","-0,37%"
"23.10.2015","16,5937","16,4781","16,6152","16,3875","0,70%"
"22.10.2015","16,4783","16,6578","16,6619","16,4573","-1,07%"
"21.10.2015","16,6561","16,5497","16,7106","16,5439","0,56%"
"20.10.2015","16,5641","16,4913","16,6200","16,4500","0,45%"
"19.10.2015","16,4892","16,4184","16,5341","16,3549","0,38%"
"16.10.2015","16,4268","16,3837","16,5022","16,3430","0,22%"
"15.10.2015","16,3900","16,4625","16,4889","16,3215","-0,51%"
"14.10.2015","16,4734","16,6588","16,6612","16,4375","-1,10%"
"13.10.2015","16,6563","16,4668","16,6692","16,4668","1,19%"
"12.10.2015","16,4600","16,4263","16,4997","16,3910","0,17%"
"09.10.2015","16,4320","16,4616","16,4943","16,3713","-0,17%"
"08.10.2015","16,4604","16,6541","16,6901","16,4536","-1,15%"
"07.10.2015","16,6517","16,6547","16,6740","16,4903","0,00%"
"06.10.2015","16,6517","16,7885","16,8467","16,6258","-0,86%"
"05.10.2015","16,7959","16,7738","16,7966","16,5782","0,22%"
"02.10.2015","16,7597","16,9211","17,0220","16,7168","-0,95%"
"01.10.2015","16,9208","16,9228","16,9330","16,7817","0,01%"
"30.09.2015","16,9193","17,0263","17,0377","16,8535","-0,62%"
"29.09.2015","17,0253","17,0724","17,1460","16,9540","-0,28%"
"28.09.2015","17,0738","16,9621","17,1280","16,9146","0,60%"
"25.09.2015","16,9725","16,8763","17,0310","16,7098","0,61%"
"24.09.2015","16,8701","17,1140","17,3429","16,7910","-1,43%"
"23.09.2015","17,1155","16,8872","17,1515","16,8295","1,34%"
"22.09.2015","16,8891","16,6632","16,9166","16,6300","1,36%"
"21.09.2015","16,6632","16,6320","16,7582","16,5558","0,06%"
"18.09.2015","16,6535","16,5980","16,6700","16,4252","0,32%"
"17.09.2015","16,6000","16,5594","16,6255","16,3698","0,29%"
"16.09.2015","16,5517","16,6904","16,6992","16,5413","-0,83%"
"15.09.2015","16,6901","16,7549","16,7912","16,6834","-0,38%"
"14.09.2015","16,7540","16,8286","16,8604","16,7343","-0,50%"
"11.09.2015","16,8376","16,7792","16,8783","16,7231","0,37%"
"10.09.2015","16,7763","16,8232","16,9952","16,6938","-0,28%"
"09.09.2015","16,8235","16,8217","16,8552","16,7188","-0,01%"
"08.09.2015","16,8253","16,9875","16,9935","16,7477","-0,98%"
"07.09.2015","16,9917","16,9493","17,0243","16,8901","0,25%"
"04.09.2015","16,9486","16,7930","16,9620","16,7640","0,87%"
"03.09.2015","16,8020","16,8172","16,9437","16,7360","-0,14%"
"02.09.2015","16,8262","16,9670","16,9914","16,8057","-0,84%"
"01.09.2015","16,9692","16,7500","16,9925","16,7240","1,30%"
"31.08.2015","16,7522","16,7469","16,9146","16,6590","0,00%"
"28.08.2015","16,7519","16,8804","16,9542","16,7010","-0,74%"
"27.08.2015","16,8776","17,0062","17,0464","16,7830","-0,75%"
"26.08.2015","17,0058","17,2015","17,3065","16,9878","-1,18%"
"25.08.2015","17,2080","17,2053","17,2243","16,8952","0,03%"
"24.08.2015","17,2032","16,9928","17,2499","16,9820","1,27%"
"21.08.2015","16,9877","16,8142","16,9957","16,7828","1,10%"
"20.08.2015","16,8023","16,6188","16,8198","16,5870","1,10%"
"19.08.2015","16,6188","16,4025","16,6317","16,3700","1,33%"
"18.08.2015","16,4002","16,4361","16,4741","16,3893","-0,16%"
